#Acq. time (s)=	10
#Accumulations=	5
#Range=	Off
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Detector Gain=	Best Dynamic Range
#Detector ADC=	45 kHz       
#Detector temperature (°C)=	-60.1
#Instrument=	LabRAM HR Odyssey
#Detector=	Syncerity OE
#Objective=	x100_VIS
#Grating=	1800 (450-850nm)
#ND Filter=	1%
#Laser=	532nm_Edge
#Spectro (cm-¹)=	300.006
#Hole=	100.021
#Range=	Visible
#E-Cal_Neon=	0
#StageXY=	200x100mm Heavy
#StageZ=	Z motor
#X (µm)=	0
#Y (µm)=	0
#Z (µm)=	-988.9
#Spectral res.(cm-¹)=	2.2
#Full time(s)=	53
#AC=	Calibrated 2026-08-05 15:16
#Project=	A
#Sample=	B
#Site=	C
#Title=	_15_30_31
#Remark=	
#Date=	05.08.2026 15:30
#Acquired=	05.08.2026 15:30:44
#AxisType[0]=Intens
#AxisUnit[0]=Cnt
#AxisType[1]=Spectr
#AxisUnit[1]=1/cm
36.5878	22.5
37.1156	27
37.6413	32
38.1691	28.5
38.6947	36.5
39.2203	37
39.748	34.5
40.2736	37
40.8012	35.5
41.3267	41
41.8543	38
42.3797	44
42.9051	48
43.4326	48
43.9579	52
44.4853	51
45.0106	56.5
45.5358	57.5
46.0632	60.5
46.5883	59
47.1156	61
47.6407	64
48.1658	67
48.693	70
49.2181	72.5
49.7431	70
50.2702	78.5
50.7951	85
51.32	86.5
51.847	93
52.3719	90
52.8967	92.5
53.4237	100.5
53.9484	107
54.4732	108
55	106.5
55.5247	121
56.0493	120
56.5761	129.5
57.1007	130.5
57.6252	141.5
58.1498	132
58.6764	158
59.2009	167
59.7253	181.5
60.2497	175.5
60.7762	204
61.3006	204
61.8249	207
62.3492	232
62.8756	224
63.3998	258
63.9241	251.5
64.4482	281
64.9724	289
65.4986	281
66.0227	307.5
66.5468	296
67.0708	341
67.5948	326
68.1188	342
68.6449	362
69.1688	392.5
69.6926	371
70.2165	387
70.7403	397.5
71.2641	406.5
71.7879	416.5
72.3138	425.5
72.8375	442.5
73.3611	443
73.8848	463.5
74.4084	453.5
74.932	480
75.4556	469
75.9791	490
76.5026	498.5
77.0282	517.5
77.5516	500
78.075	499.5
78.5984	528.5
79.1218	524.5
79.6451	540.5
80.1684	537.5
80.6917	544.5
81.2149	541
81.7381	565
82.2613	540
82.7844	573.5
83.3076	565.5
83.8307	576
84.3537	567.5
84.8767	574.5
85.3997	585.5
85.9227	579
86.4457	601.5
86.9686	571
87.4915	603
88.0143	601.5
88.5372	598
89.06	605.5
89.5827	612.5
90.1055	644.5
90.6282	640.5
91.1509	663
91.6735	688
92.1961	715
92.7187	751
93.2413	804.5
93.7617	816.5
94.2842	889.5
94.8067	910
95.3291	924
95.8515	962
96.3739	1011.5
96.8963	1014
97.4186	959.5
97.9409	970.5
98.4611	893
98.9833	858.5
99.5055	819
100.028	831
100.55	813.5
101.072	776.5
101.594	764
102.114	750
102.636	761
103.158	768.5
103.68	743
104.202	747.5
104.722	748.5
105.244	755.5
105.766	757.5
106.287	763.5
106.809	771.5
107.329	755
107.851	779.5
108.372	792
108.894	782
109.414	809
109.935	830
110.457	857.5
110.978	899.5
111.498	931.5
112.019	977.5
112.541	1029
113.062	1043
113.582	1087
114.103	1101
114.624	1124.5
115.144	1127.5
115.665	1144
116.186	1164.5
116.707	1167.5
117.226	1209.5
117.748	1219.5
118.269	1225
118.788	1241.5
119.309	1233
119.83	1287
120.349	1237
120.87	1135.5
121.391	1053
121.91	997
122.431	943
122.949	916
123.47	926
123.991	907
124.51	895
125.031	896
125.549	885
126.07	870
126.591	895
127.109	939.5
127.63	932.5
128.148	947.5
128.669	943
129.187	923
129.708	936
130.228	920
130.747	907
131.267	895
131.786	890.5
132.306	863
132.824	890.5
133.344	888.5
133.863	930
134.383	941
134.901	1011.5
135.421	1082.5
135.939	1188.5
136.459	1302
136.977	1427.5
137.498	1524
138.016	1541.5
138.536	1478.5
139.053	1415.5
139.573	1333
140.091	1209.5
140.609	1155
141.129	1063.5
141.647	1036.5
142.166	983
142.684	959
143.204	917
143.722	899
144.239	891.5
144.759	872
145.276	856
145.796	815.5
146.314	847.5
146.831	837.5
147.35	810
147.868	794.5
148.385	806
148.905	791
149.422	786.5
149.941	754.5
150.459	774.5
150.976	770
151.495	757.5
152.012	730.5
152.53	719.5
153.047	714
153.566	703.5
154.083	735
154.6	695
155.119	709.5
155.636	689
156.153	666
156.672	651
157.189	647.5
157.706	610
158.222	626.5
158.741	610.5
159.258	611
159.775	607
160.292	595
160.81	596
161.327	593
161.844	581
162.36	599
162.877	583
163.395	576
163.912	569.5
164.428	593.5
164.945	571
165.461	578
165.98	588
166.496	575
167.012	567
167.529	574
168.045	553.5
168.563	574
169.08	568
169.596	560.5
170.112	565
170.628	551.5
171.144	563.5
171.66	555.5
172.176	563
172.694	548
173.21	543
173.726	561.5
174.242	543
174.758	543
175.274	573.5
175.79	561.5
176.306	550
176.822	547.5
177.337	535.5
177.853	558
178.369	540.5
178.887	536
179.402	543
179.918	526.5
180.433	550
180.949	517.5
181.464	549.5
181.98	544
182.495	549
183.011	531
183.526	551
184.042	524.5
184.557	530.5
185.072	539.5
185.588	538
186.103	551.5
186.618	543
187.133	553.5
187.649	539
188.164	555
188.677	539
189.192	559
189.707	534.5
190.222	549.5
190.737	548.5
191.252	553.5
191.767	550.5
192.282	558.5
192.797	565.5
193.312	561
193.827	560.5
194.341	568
194.854	581
195.369	574.5
195.884	580
196.398	569.5
196.913	605.5
197.428	580
197.942	572
198.455	588
198.969	600.5
199.484	607
199.998	596
200.513	629
201.027	619.5
201.54	623.5
202.054	612
202.568	649
203.083	646.5
203.597	662.5
204.109	669.5
204.623	689
205.138	693.5
205.652	804
206.166	945.5
206.678	1037
207.192	1092.5
207.706	1111
208.22	1137.5
208.732	1112
209.246	1153.5
209.76	1142.5
210.272	1148.5
210.786	1160
211.3	1125
211.813	1138.5
212.325	1121
212.839	1145
213.353	1154.5
213.864	1132.5
214.378	1174.5
214.892	1179.5
215.403	1191.5
215.917	1222
216.431	1243
216.942	1270.5
217.456	1344
217.969	1393
218.48	1461.5
218.994	1556
219.507	1610.5
220.019	1570.5
220.532	1559
221.043	1495
221.557	1440.5
222.07	1426
222.581	1407
223.094	1394.5
223.605	1371
224.118	1346
224.632	1312.5
225.143	1344.5
225.656	1360.5
226.167	1300.5
226.68	1288
227.191	1312
227.704	1331
228.214	1355.5
228.727	1374
229.238	1382
229.751	1333.5
230.262	1328
230.774	1362.5
231.285	1437.5
231.798	1451
232.308	1488
232.821	1495
233.332	1561.5
233.844	1590.5
234.355	1680.5
234.867	1723.5
235.378	1774
235.89	1896.5
236.401	2025
236.913	2207
237.424	2294
237.934	2488.5
238.446	2536
238.957	2659
239.469	2710.5
239.979	2824.5
240.491	2869.5
241.001	2968
241.512	3022.5
242.024	3090
242.534	3211.5
243.046	3284.5
243.556	3489.5
244.066	3583
244.578	3868.5
245.088	3920.5
245.598	4206
246.11	4506.5
246.62	5021
247.129	5784
247.641	7024
248.151	9320
248.661	13603
249.172	20697.5
249.682	33733.5
250.192	59958
250.703	64918
251.213	56725
251.723	27574.5
252.232	14300.5
252.744	9379
253.253	7142
253.763	5874
254.272	5085.5
254.783	5333
255.293	5820
255.802	6584.5
256.311	7012
256.823	7355.5
257.332	7300.5
257.841	7315.5
258.35	7433.5
258.86	7504.5
259.371	7329.5
259.88	6483.5
260.389	5583.5
260.898	4877.5
261.407	4640
261.918	4503.5
262.427	4277
262.936	3765
263.445	3075.5
263.954	2377
264.463	1931
264.974	1762
265.482	1648.5
265.991	1591
266.5	1486
267.009	1500
267.517	1422
268.026	1403
268.534	1351.5
269.043	1310
269.554	1289.5
270.062	1199
270.571	1160
271.079	1128.5
271.588	1096.5
272.096	1069
272.605	1065
273.113	1041
273.621	1037.5
274.13	1001
274.638	1040
275.146	1047
275.654	1020
276.163	1036.5
276.671	1016
277.179	1005
277.687	1006.5
278.195	1002.5
278.703	1005.5
279.211	987
279.719	992.5
280.227	1000.5
280.735	980.5
281.243	1003.5
281.751	983
282.259	987.5
282.767	969
283.275	992
283.782	984
284.29	993.5
284.798	975
285.305	999
285.813	981
286.321	963
286.826	979
287.334	925
287.841	918.5
288.349	876.5
288.857	851.5
289.364	797.5
289.871	752.5
290.379	697.5
290.886	680.5
291.392	663
291.899	664.5
292.406	646.5
292.914	634
293.421	646
293.928	613.5
294.433	631
294.94	622.5
295.447	633
295.955	619
296.462	639
296.967	629.5
297.474	638
297.981	617.5
298.488	607
298.995	602.5
299.499	604
300.006	611
300.513	601.5
301.02	605.5
301.525	597
302.032	594.5
302.538	623
303.045	618
303.55	630.5
304.056	622.5
304.563	648
305.068	644
305.574	688.5
306.081	704.5
306.585	779
307.092	865
307.598	1037
308.105	1399
308.609	2249.5
309.115	3424
309.622	2984
310.126	1876.5
310.632	1191
311.136	952.5
311.643	838.5
312.149	784.5
312.653	758
313.159	709.5
313.665	704.5
314.169	680.5
314.675	681
315.179	671.5
315.686	680
316.192	652
316.695	653
317.201	660.5
317.705	647
318.211	649.5
318.715	648.5
319.221	640
319.727	642
320.23	641
320.736	632
321.24	642
321.745	641
322.249	646
322.755	641
323.258	661
323.764	658
324.267	650.5
324.773	685
325.276	659
325.782	690
326.285	677
326.79	704.5
327.294	674
327.797	696.5
328.302	683
328.806	719.5
329.311	709.5
329.814	719.5
330.319	733.5
330.823	756
331.328	771
331.831	777
332.334	783.5
332.839	765
333.342	773
333.847	753
334.35	750.5
334.853	779
335.358	779
335.861	794.5
336.363	803.5
336.868	834
337.371	859.5
337.874	896
338.379	902.5
338.881	917.5
339.384	919.5
339.889	934
340.391	924.5
340.894	938.5
341.399	923.5
341.901	918.5
342.404	931.5
342.908	927
343.411	928.5
343.913	948.5
344.415	938
344.92	957
345.422	950
345.924	955.5
346.427	972.5
346.931	946
347.433	975.5
347.935	967.5
348.438	967.5
348.942	979
349.444	993.5
349.946	976
350.448	993.5
350.952	985
351.454	990
351.956	985.5
352.458	986
352.96	951
353.462	963
353.966	961.5
354.468	943
354.97	955.5
355.471	949.5
355.973	926
356.475	938
356.977	932
357.48	937
357.982	984
358.484	1055.5
358.985	1101
359.487	1164.5
359.988	1226.5
360.49	1150.5
360.991	1112.5
361.493	1058
361.994	1009.5
362.498	965
362.999	953
363.5	917.5
364.002	914.5
364.503	874
365.004	864
365.505	878.5
366.007	859
366.508	875.5
367.009	894
367.51	884.5
368.011	908
368.512	936
369.013	954.5
369.514	964.5
370.015	1000.5
370.516	1033.5
371.017	1062
371.518	1139.5
372.019	1275.5
372.52	1465.5
373.021	1693
373.522	1864.5
374.022	2022
374.523	2055
375.024	1817.5
375.522	1541.5
376.023	1334
376.524	1212
377.024	1095.5
377.525	1035.5
378.026	976
378.526	950
379.027	933
379.527	890.5
380.027	881.5
380.526	864.5
381.026	876
381.527	844
382.027	854
382.527	858.5
383.028	867.5
383.526	845.5
384.026	843
384.526	864.5
385.026	869.5
385.526	893.5
386.027	904.5
386.525	932.5
387.025	956.5
387.525	974
388.025	958.5
388.525	1005
389.023	1021
389.523	1028.5
390.022	1107
390.522	1120
391.02	1169
391.52	1251
392.02	1316.5
392.52	1400.5
393.017	1434.5
393.517	1514
394.017	1546
394.514	1613.5
395.014	1593
395.513	1635
396.013	1604.5
396.511	1632.5
