Parameters Labels,Par_0,Wavelength0,ExpROI1_0,ExpROI2_0,Par_1,Wavelength1,ExpROI1_1,ExpROI2_1,Par_2,Wavelength2,ExpROI1_2,ExpROI2_2,,,,,,,,,,,,
Fianium_Select_W6,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,
Fianium_Select_W7,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,
Fianium_Select_A0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,
Fianium_Select_A1,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,
Fianium_Select_A2,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,
Fianium_Select_A3,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,
Fianium_Select_A4,9.3000000E+4,0.0000000E+0,0.0000000E+0,0.0000000E+0,9.3000000E+4,0.0000000E+0,0.0000000E+0,0.0000000E+0,9.3000000E+4,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,
Fianium_Select_A5,7.7996800E+7,0.0000000E+0,0.0000000E+0,0.0000000E+0,7.7996720E+7,0.0000000E+0,0.0000000E+0,0.0000000E+0,7.7996720E+7,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,
Fianium_Select_A6,1.9000000E+2,0.0000000E+0,0.0000000E+0,0.0000000E+0,1.9000000E+2,0.0000000E+0,0.0000000E+0,0.0000000E+0,1.4000000E+2,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,
Fianium_Select_A7,1.0016000E+1,0.0000000E+0,0.0000000E+0,0.0000000E+0,1.0100000E+1,0.0000000E+0,0.0000000E+0,0.0000000E+0,1.0045000E+1,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,
33600A_Ch1_Vpp,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,
33600A_Ch1_Vdc,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,
33600A_Ch1_freq,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,
33600A_Ch2_Vpp,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,
33600A_Ch2_Vdc,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,-1.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,
33600A_Ch2_freq,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,
PG1072_V_High,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,
PG1072_V_Low,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,
PG1072_PulseWidth,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,
PG1072_PulseDelay,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,0.0000000E+0,,,,,,,,,,,,
