Parameters Labels,Par_0,Wavelength0,Exp_0,,,
,0.0000000E+0,3.3602723E-1,5.0000000E+0,,,
,0.0000000E+0,3.4002756E-1,9.0000000E+0,,,
,0.0000000E+0,3.4402788E-1,2.0000000E+0,,,
,0.0000000E+0,3.4802821E-1,5.0000000E+0,,,
,0.0000000E+0,3.5202853E-1,5.0000000E+0,,,
,0.0000000E+0,3.5602886E-1,1.1000000E+1,,,
,0.0000000E+0,3.6002918E-1,8.0000000E+0,,,
,0.0000000E+0,3.6402950E-1,9.0000000E+0,,,
,0.0000000E+0,3.6802983E-1,7.0000000E+0,,,
,0.0000000E+0,3.7203015E-1,2.0000000E+0,,,
,0.0000000E+0,3.7603048E-1,1.0000000E+1,,,
,0.0000000E+0,3.8003080E-1,8.0000000E+0,,,
,0.0000000E+0,3.8403113E-1,7.0000000E+0,,,
,0.0000000E+0,3.8803145E-1,9.0000000E+0,,,
,0.0000000E+0,3.9203177E-1,6.0000000E+0,,,
,0.0000000E+0,3.9603210E-1,5.0000000E+0,,,
,0.0000000E+0,4.0003242E-1,6.0000000E+0,,,
,0.0000000E+0,4.0403275E-1,4.0000000E+0,,,
,0.0000000E+0,4.0803307E-1,7.0000000E+0,,,
,0.0000000E+0,4.1203340E-1,1.0000000E+1,,,
,0.0000000E+0,4.1603372E-1,4.0000000E+0,,,
,0.0000000E+0,4.2003404E-1,9.0000000E+0,,,
,0.0000000E+0,4.2403437E-1,3.0000000E+0,,,
,0.0000000E+0,4.2803469E-1,2.0000000E+0,,,
,0.0000000E+0,4.3203502E-1,7.0000000E+0,,,
,0.0000000E+0,4.3603534E-1,6.0000000E+0,,,
,0.0000000E+0,4.4003566E-1,9.0000000E+0,,,
,0.0000000E+0,4.4403599E-1,5.0000000E+0,,,
,0.0000000E+0,4.4803631E-1,6.0000000E+0,,,
,0.0000000E+0,4.5203664E-1,3.0000000E+0,,,
,0.0000000E+0,4.5603696E-1,1.4000000E+1,,,
,0.0000000E+0,4.6003729E-1,6.0000000E+0,,,
,0.0000000E+0,4.6403761E-1,6.0000000E+0,,,
,0.0000000E+0,4.6803793E-1,8.0000000E+0,,,
,0.0000000E+0,4.7203826E-1,9.0000000E+0,,,
,0.0000000E+0,4.7603858E-1,5.0000000E+0,,,
,0.0000000E+0,4.8003891E-1,5.0000000E+0,,,
,0.0000000E+0,4.8403923E-1,6.0000000E+0,,,
,0.0000000E+0,4.8803956E-1,7.0000000E+0,,,
,0.0000000E+0,4.9203988E-1,5.0000000E+0,,,
,0.0000000E+0,4.9604020E-1,5.0000000E+0,,,
,0.0000000E+0,5.0004053E-1,8.0000000E+0,,,
,0.0000000E+0,5.0404085E-1,7.0000000E+0,,,
,0.0000000E+0,5.0804118E-1,4.0000000E+0,,,
,0.0000000E+0,5.1204150E-1,3.0000000E+0,,,
,0.0000000E+0,5.1604182E-1,9.0000000E+0,,,
,0.0000000E+0,5.2004215E-1,1.0000000E+0,,,
,0.0000000E+0,5.2404247E-1,7.0000000E+0,,,
,0.0000000E+0,5.2804280E-1,6.0000000E+0,,,
,0.0000000E+0,5.3204312E-1,6.0000000E+0,,,
,0.0000000E+0,5.3604345E-1,4.0000000E+0,,,
,0.0000000E+0,5.4004377E-1,2.0000000E+0,,,
,0.0000000E+0,5.4404409E-1,9.0000000E+0,,,
,0.0000000E+0,5.4804442E-1,2.0000000E+0,,,
,0.0000000E+0,5.5204474E-1,8.0000000E+0,,,
,0.0000000E+0,5.5604507E-1,6.0000000E+0,,,
,0.0000000E+0,5.6004539E-1,3.0000000E+0,,,
,0.0000000E+0,5.6404572E-1,5.0000000E+0,,,
,0.0000000E+0,5.6804604E-1,9.0000000E+0,,,
,0.0000000E+0,5.7204636E-1,7.0000000E+0,,,
,0.0000000E+0,5.7604669E-1,3.0000000E+0,,,
,0.0000000E+0,5.8004701E-1,4.0000000E+0,,,
,0.0000000E+0,5.8404734E-1,7.0000000E+0,,,
,0.0000000E+0,5.8804766E-1,5.0000000E+0,,,
,0.0000000E+0,5.9204799E-1,9.0000000E+0,,,
,0.0000000E+0,5.9604831E-1,7.0000000E+0,,,
,0.0000000E+0,6.0004863E-1,9.0000000E+0,,,
,0.0000000E+0,6.0404896E-1,4.0000000E+0,,,
,0.0000000E+0,6.0804928E-1,7.0000000E+0,,,
,0.0000000E+0,6.1204961E-1,5.0000000E+0,,,
,0.0000000E+0,6.1604993E-1,4.0000000E+0,,,
,0.0000000E+0,6.2005025E-1,2.0000000E+0,,,
,0.0000000E+0,6.2405058E-1,1.1000000E+1,,,
,0.0000000E+0,6.2805090E-1,1.3000000E+1,,,
,0.0000000E+0,6.3205123E-1,1.1000000E+1,,,
,0.0000000E+0,6.3605155E-1,7.0000000E+0,,,
,0.0000000E+0,6.4005188E-1,7.0000000E+0,,,
,0.0000000E+0,6.4405220E-1,5.0000000E+0,,,
,0.0000000E+0,6.4805252E-1,2.0000000E+0,,,
,0.0000000E+0,6.5205285E-1,7.0000000E+0,,,
,0.0000000E+0,6.5605317E-1,2.0000000E+0,,,
,0.0000000E+0,6.6005350E-1,5.0000000E+0,,,
,0.0000000E+0,6.6405382E-1,6.0000000E+0,,,
,0.0000000E+0,6.6805415E-1,8.0000000E+0,,,
,0.0000000E+0,6.7205447E-1,3.0000000E+0,,,
,0.0000000E+0,6.7605479E-1,6.0000000E+0,,,
,0.0000000E+0,6.8005512E-1,1.2000000E+1,,,
,0.0000000E+0,6.8405544E-1,2.0000000E+0,,,
,0.0000000E+0,6.8805577E-1,7.0000000E+0,,,
,0.0000000E+0,6.9205609E-1,4.0000000E+0,,,
,0.0000000E+0,6.9605641E-1,6.0000000E+0,,,
,0.0000000E+0,7.0005674E-1,2.0000000E+0,,,
,0.0000000E+0,7.0405706E-1,6.0000000E+0,,,
,0.0000000E+0,7.0805739E-1,4.0000000E+0,,,
,0.0000000E+0,7.1205771E-1,5.0000000E+0,,,
,0.0000000E+0,7.1605804E-1,7.0000000E+0,,,
,0.0000000E+0,7.2005836E-1,8.0000000E+0,,,
,0.0000000E+0,7.2405868E-1,6.0000000E+0,,,
,0.0000000E+0,7.2805901E-1,8.0000000E+0,,,
,0.0000000E+0,7.3205933E-1,1.0000000E+1,,,
,0.0000000E+0,7.3605966E-1,7.0000000E+0,,,
,0.0000000E+0,7.4005998E-1,1.1000000E+1,,,
,0.0000000E+0,7.4406031E-1,4.0000000E+0,,,
,0.0000000E+0,7.4806063E-1,3.0000000E+0,,,
,0.0000000E+0,7.5206095E-1,7.0000000E+0,,,
,0.0000000E+0,7.5606128E-1,5.0000000E+0,,,
,0.0000000E+0,7.6006160E-1,4.0000000E+0,,,
,0.0000000E+0,7.6406193E-1,5.0000000E+0,,,
,0.0000000E+0,7.6806225E-1,8.0000000E+0,,,
,0.0000000E+0,7.7206258E-1,4.0000000E+0,,,
,0.0000000E+0,7.7606290E-1,9.0000000E+0,,,
,0.0000000E+0,7.8006322E-1,1.1000000E+1,,,
,0.0000000E+0,7.8406355E-1,5.0000000E+0,,,
,0.0000000E+0,7.8806387E-1,7.0000000E+0,,,
,0.0000000E+0,7.9206420E-1,6.0000000E+0,,,
,0.0000000E+0,7.9606452E-1,4.0000000E+0,,,
,0.0000000E+0,8.0006484E-1,1.5000000E+1,,,
,0.0000000E+0,8.0406517E-1,3.0000000E+0,,,
,0.0000000E+0,8.0806549E-1,4.0000000E+0,,,
,0.0000000E+0,8.1206582E-1,4.0000000E+0,,,
,0.0000000E+0,8.1606614E-1,8.0000000E+0,,,
,0.0000000E+0,8.2006647E-1,3.0000000E+0,,,
,0.0000000E+0,8.2406679E-1,8.0000000E+0,,,
,0.0000000E+0,8.2806711E-1,7.0000000E+0,,,
,0.0000000E+0,8.3206744E-1,7.0000000E+0,,,
,0.0000000E+0,8.3606776E-1,6.0000000E+0,,,
,0.0000000E+0,8.4006809E-1,3.0000000E+0,,,
,0.0000000E+0,8.4406841E-1,1.0000000E+1,,,
,0.0000000E+0,8.4806874E-1,7.0000000E+0,,,
,0.0000000E+0,8.5206906E-1,5.0000000E+0,,,
,0.0000000E+0,8.5606938E-1,1.1000000E+1,,,
,0.0000000E+0,8.6006971E-1,4.0000000E+0,,,
,0.0000000E+0,8.6407003E-1,4.0000000E+0,,,
,0.0000000E+0,8.6807036E-1,8.0000000E+0,,,
,0.0000000E+0,8.7207068E-1,2.0000000E+0,,,
,0.0000000E+0,8.7607100E-1,7.0000000E+0,,,
,0.0000000E+0,8.8007133E-1,8.0000000E+0,,,
,0.0000000E+0,8.8407165E-1,5.0000000E+0,,,
,0.0000000E+0,8.8807198E-1,6.0000000E+0,,,
,0.0000000E+0,8.9207230E-1,2.0000000E+0,,,
,0.0000000E+0,8.9607263E-1,8.0000000E+0,,,
,0.0000000E+0,9.0007295E-1,1.0000000E+1,,,
,0.0000000E+0,9.0407327E-1,7.0000000E+0,,,
,0.0000000E+0,9.0807360E-1,4.0000000E+0,,,
,0.0000000E+0,9.1207392E-1,6.0000000E+0,,,
,0.0000000E+0,9.1607425E-1,4.0000000E+0,,,
,0.0000000E+0,9.2007457E-1,7.0000000E+0,,,
,0.0000000E+0,9.2407490E-1,4.0000000E+0,,,
,0.0000000E+0,9.2807522E-1,8.0000000E+0,,,
,0.0000000E+0,9.3207554E-1,5.0000000E+0,,,
,0.0000000E+0,9.3607587E-1,5.0000000E+0,,,
,0.0000000E+0,9.4007619E-1,6.0000000E+0,,,
,0.0000000E+0,9.4407652E-1,6.0000000E+0,,,
,0.0000000E+0,9.4807684E-1,3.0000000E+0,,,
,0.0000000E+0,9.5207717E-1,5.0000000E+0,,,
,0.0000000E+0,9.5607749E-1,9.0000000E+0,,,
,0.0000000E+0,9.6007781E-1,7.0000000E+0,,,
,0.0000000E+0,9.6407814E-1,6.0000000E+0,,,
,0.0000000E+0,9.6807846E-1,8.0000000E+0,,,
,0.0000000E+0,9.7207879E-1,1.0000000E+1,,,
,0.0000000E+0,9.7607911E-1,6.0000000E+0,,,
,0.0000000E+0,9.8007943E-1,4.0000000E+0,,,
,0.0000000E+0,9.8407976E-1,7.0000000E+0,,,
